Slovensko ime,Znanstveno ime,Užitnost,Čas rasti,Temp. prag (zrak),Mikorizni partner,Tip rastišča (Prehranjevanje),Tip tal (pH vrednost),Nevarnost zamenjave (Dvojnice),Vonj in okus,Sprememba barve mesa ob poškodbi,Shranjevanje in priprava,Višinski pas in značilna območja,Pogostost v Zgornji savinjski,Geološki mikro-teren (Zg. Savinjska),"Minimalna kumulativna vlaga (7 dni, mm)",Optimalni temperaturni pas (°C),Vpliv vetra/izsušitve,Gobarski indeks (Izračun),Indeks,Vir podatkov
Velika mokovka,Clitopilus prunulus,Pogojno užitna,Jul – Okt,12 – 20 °C,,"Razkrajalka; v tleh v listnatih in mešanih gozdovih, ob gozdnih robovih",Nevtralna do bazična tla,Bela livka (Clitocybe dealbata) in sorodne bele livke – smrtno nevarne zaradi muskarina; mokovka ima rožnate lističe in močan vonj po moki.,,,,Nižine in sredogorje,Pogosta v listnatih gozdovih po vsej Sloveniji.,Apnenčasti gozdni robovi,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Navadna pokovka,Scleroderma citrinum,Strupena,Jul – Okt,14 – 22 °C,"Hrast, bukev, breza","Mikoriza; v tleh na kislih, peščenih in revnih tleh, pogosto ob poteh","Kisla, peščena tla","Mlade prašnice in gomoljike – pokovka ima trdo, belo lupino in črno-vijoličasto notranjost že v mladosti.",,,,Vse višine,Zelo pogosta na kislih tleh po vsej dolini.,Kisla silikatna tla Smrekovca,20-30,14-22,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Xerocomus subtomentosus,Xerocomus subtomentosus,Užitna,Jun – Okt,14 – 22 °C,"Bukev, hrast, smreka","Mikoriza; v tleh v listnatih in mešanih gozdovih, pogosto v mahu",Kisla do nevtralna tla,"Drugi manjši gobani rodu Xerocomus – vsi neškodljivi, a slabše kakovosti.",,,,Vse višine,Pogost v mešanih gozdovih doline.,Kisla in nevtralna tla,20-30,14-22,,,da,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Opečnata žveplenjača,Hypholoma lateritium,Pogojno užitna,Sep – Nov,8 – 16 °C,,Razkraja les; raste v gostih šopih na štorih in koreninah listavcev,Nevtralna tla,"Navadna žveplenjača (Hypholoma fasciculare) – strupena, grenka, z žveplenorumenimi lističi.",,,,Nižine in sredogorje,Pogosta na štorih listavcev.,Vlažni gozdni robovi,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Mesnordeča bledivka,Laccaria laccata,Užitna,Jul – Nov,10 – 18 °C,"Smreka, bukev, breza","Mikoriza; v tleh, pogosto v mahu in ob gozdnih poteh",Kisla tla,Vijoličasta bledivka (Laccaria amethystina) – prav tako užitna. Mlade rdečelistke – pozor na rožnate lističe.,,,,Vse višine,"Zelo pogosta povsod, a drobna in malo mesnata.",Kisla silikatna tla,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Megacollybia platyphylla,Megacollybia platyphylla,Neužitna,Maj – Okt,12 – 20 °C,,Razkraja les; raste na zakopanem lesu in trhlih štorih listavcev,Nevtralna tla,,,,,Nižine in sredogorje,Pogosta v bukovih gozdovih.,Vlažni bukovi gozdovi,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Tricholomopsis rutilans,Tricholomopsis rutilans,Neužitna,Jul – Nov,10 – 18 °C,,Razkraja les; raste na štorih in ostankih iglavcev,Kisla tla,"Zelenkasta kolobarnica (Tricholoma equestre) – pozor, ta je bila vzrok zastrupitev; rutilans ima rdeče luske na rumeni podlagi.",,,,Sredogorje in gorske lege,Pogosta na smrekovih štorih.,Kisla silikatna tla iglastih gozdov,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Robata kresilača,Fomitopsis pinicola,Neužitna,Celotno leto,0 – 20 °C,,"Razkraja les; trajni trosnjak na deblih in štorih iglavcev, redkeje listavcev",Kisla tla,"Bukova kresilka (Fomes fomentarius) – siva, brez rdečega roba.",,,,Vse višine,Zelo pogosta na odmrlih smrekah.,Kisla silikatna tla iglastih gozdov,20-30,0-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Žametna podvihanka,Tapinella atrotomentosa,Neužitna,Jul – Okt,12 – 20 °C,,Razkraja les; raste na štorih in koreninah iglavcev,Kisla tla,Navadna podvihanka (Paxillus involutus) – strupena; atrotomentosa ima žametno temno rjav bet.,,,,Sredogorje in gorske lege,Pogosta na smrekovih štorih v višjih legah.,Kisla silikatna tla,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Hrastova mlečnica,Lactarius quietus,Neužitna,Avg – Nov,10 – 18 °C,Izključno hrast,Mikoriza; v tleh pod hrasti,Kisla do nevtralna tla,Druge rjave mlečnice – quietus ima vonj po stenicah in kolobarjast klobuk.,,,,Nižine in gričevje,"Pogosta povsod, kjer so hrasti.",Nevtralna tla hrastovih gozdov,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
