model,lead_days,valid_at,issued_at,tmax_c,tmin_c,precip_mm
arso,1,2026-08-25,2026-08-24,21,14,3
arso,2,2026-08-26,2026-08-24,23,14,1
arso,3,2026-08-27,2026-08-24,25,16,0.1
arso,4,2026-08-28,2026-08-24,29,16,0
arso,5,2026-08-29,2026-08-24,24,14,9.4
arso,6,2026-08-30,2026-08-24,22,13,0
arso,7,2026-08-31,2026-08-24,25,14,0.7
arso,1,2026-08-26,2026-08-25,25,15,0.1
arso,2,2026-08-27,2026-08-25,28,16,0.2
arso,3,2026-08-28,2026-08-25,29,16,0.4
arso,4,2026-08-29,2026-08-25,24,15,8.1
arso,5,2026-08-30,2026-08-25,22,14,1.9
arso,6,2026-08-31,2026-08-25,24,15,1.8
arso,7,2026-09-01,2026-08-25,23,15,0.7
yr,1,2026-08-25,2026-08-24,19.9,16.6,13.9
yr,2,2026-08-26,2026-08-24,25.8,14.2,0.0
yr,3,2026-08-27,2026-08-24,27.9,18.6,0.0
yr,4,2026-08-28,2026-08-24,30.8,19.1,0.0
yr,5,2026-08-29,2026-08-24,23.6,19.4,8.1
yr,6,2026-08-30,2026-08-24,24.6,15.8,0.0
yr,7,2026-08-31,2026-08-24,27.8,18.3,0.5
yr,1,2026-08-26,2026-08-25,26.9,13.9,0.0
yr,2,2026-08-27,2026-08-25,29.6,18.0,0.0
yr,3,2026-08-28,2026-08-25,30.8,18.7,0.1
yr,4,2026-08-29,2026-08-25,23.5,20.3,7.0
yr,5,2026-08-30,2026-08-25,24.6,17.8,3.8
yr,6,2026-08-31,2026-08-25,26.9,18.8,0.9
yr,7,2026-09-01,2026-08-25,26.2,18.4,0.3
